step,loss,accuracy,threshold,ram_gb,phase,rounds
10,0.704291,0.500000,0.85,0.82,0,8
20,0.707181,0.488770,0.85,0.80,0,8
30,0.703681,0.506592,0.85,0.82,0,8
40,0.704760,0.494238,0.85,0.83,0,8
50,0.702681,0.502148,0.85,0.92,0,8
60,0.703271,0.499023,0.85,0.81,0,8
70,0.702299,0.503320,0.85,0.83,0,8
80,0.699963,0.508936,0.85,0.83,0,8
90,0.701312,0.506299,0.85,0.82,0,8
100,0.700088,0.510400,0.85,0.93,0,8
110,0.699416,0.510986,0.85,0.83,0,8
120,0.702036,0.501172,0.85,0.83,0,8
130,0.703257,0.494971,0.85,0.83,0,8
140,0.703347,0.491650,0.85,0.83,0,8
150,0.702226,0.493701,0.85,0.92,0,8
160,0.700194,0.500195,0.85,0.83,0,8
170,0.699863,0.507910,0.85,0.83,0,8
180,0.699364,0.506885,0.85,0.82,0,8
190,0.696328,0.522900,0.85,0.81,0,8
200,0.700384,0.496924,0.85,0.93,0,8
210,0.698340,0.504199,0.85,0.84,0,8
220,0.695869,0.514160,0.85,0.84,0,8
230,0.701216,0.493018,0.85,0.83,0,8
240,0.699033,0.506836,0.85,0.83,0,8
250,0.699773,0.503418,0.85,0.93,0,8
260,0.698111,0.504492,0.85,0.82,0,8
270,0.699050,0.502588,0.85,0.82,0,8
280,0.700173,0.494336,0.85,0.81,0,8
290,0.700361,0.498389,0.85,0.83,0,8
300,0.697185,0.509473,0.85,0.93,0,8
310,0.699286,0.502832,0.85,0.83,0,8
320,0.700675,0.493066,0.85,0.83,0,8
330,0.699690,0.489551,0.85,0.81,0,8
340,0.696072,0.505518,0.85,0.83,0,8
350,0.698616,0.503711,0.85,0.94,0,8
360,0.698243,0.504932,0.85,0.85,0,8
370,0.698436,0.504395,0.85,0.84,0,8
380,0.698385,0.503809,0.85,0.84,0,8
390,0.696610,0.500098,0.85,0.83,0,8
400,0.696864,0.499121,0.85,0.94,0,8
410,0.696929,0.489551,0.85,0.84,0,8
420,0.697866,0.491846,0.85,0.85,0,8
430,0.696235,0.496875,0.85,0.83,0,8
440,0.696088,0.502002,0.85,0.84,0,8
450,0.697367,0.494580,0.85,0.96,0,8
460,0.695721,0.497510,0.85,0.84,0,8
470,0.695145,0.495312,0.85,0.83,0,8
480,0.697033,0.490625,0.85,0.81,0,8
490,0.697112,0.483252,0.85,0.84,0,8
500,0.696739,0.491943,0.85,0.91,0,8
510,0.696987,0.486670,0.85,0.81,0,8
520,0.695413,0.496924,0.85,0.81,0,8
530,0.696271,0.491699,0.85,0.82,0,8
540,0.696480,0.489746,0.85,0.81,0,8
550,0.694391,0.505078,0.85,0.88,0,8
560,0.694721,0.503174,0.85,0.83,0,8
570,0.695104,0.496973,0.85,0.83,0,8
580,0.694926,0.500684,0.85,0.80,0,8
